id,number_in_season,number_in_series,original_air_date,original_air_year,season,title
154,1,154,1996-10-27,1996,8,Treehouse of Horror VII
169,16,169,1997-02-23,1997,8,Brother from Another Series
156,3,156,1996-11-10,1996,8,The Homer They Fall
158,5,158,1996-11-24,1996,8,Bart After Dark
202,24,202,1998-05-10,1998,9,Lost Our Lisa
199,21,199,1998-04-19,1998,9,Girly Edition
187,9,187,1997-12-07,1997,9,Realty Bites
174,21,174,1997-04-20,1997,8,The Old Man and the Lisa
159,6,159,1996-12-01,1996,8,A Milhouse Divided
170,17,170,1997-03-02,1997,8,"My Sister, My Sitter"
193,15,193,1998-02-22,1998,9,The Last Temptation of Krust
183,5,183,1997-11-02,1997,9,The Cartridge Family
172,19,172,1997-04-06,1997,8,Grade School Confidential
161,8,161,1996-12-29,1996,8,Hurricane Neddy
197,19,197,1998-03-29,1998,9,Simpson Tide
177,24,177,1997-05-11,1997,8,The Simpsons Spin-Off Showcase
179,1,179,1997-09-21,1997,9,The City of New York vs. Homer Simpson
188,10,188,1997-12-21,1997,9,Miracle on Evergreen Terrace
201,23,201,1998-05-03,1998,9,King of the Hill
192,14,192,1998-02-15,1998,9,Das Bus
204,1,204,1998-08-23,1998,10,Lard of the Dance
190,12,190,1998-01-11,1998,9,Bart Carny
195,17,195,1998-03-08,1998,9,Lisa the Simpson
146,18,146,1996-03-17,1996,7,The Day the Violence Died
208,5,208,1998-11-08,1998,10,When You Dish Upon a Star
210,7,210,1998-11-22,1998,10,"Lisa Gets an ""A"""
211,8,211,1998-12-06,1998,10,"Homer Simpson in: ""Kidney Trouble"""
252,4,252,2000-11-19,2000,12,Lisa the Tree Hugger
215,12,215,1999-01-31,1999,10,"Sunday, Cruddy Sunday"
220,17,220,1999-03-28,1999,10,Maximum Homerdrive
232,6,232,1999-11-14,1999,11,"Hello Gutter, Hello Fadder"
221,18,221,1999-04-04,1999,10,Simpsons Bible Stories
260,12,260,2001-02-11,2001,12,Tennis the Menace
213,10,213,1999-01-10,1999,10,Viva Ned Flanders
230,4,230,1999-10-31,1999,11,Treehouse of Horror X
246,20,246,2000-05-07,2000,11,Last Tap Dance in Springfield
228,2,228,1999-10-03,1999,11,Brother's Little Helper
223,20,223,1999-04-25,1999,10,"The Old Man and the ""C"" Student"
243,17,243,2000-03-19,2000,11,Bart to the Future
227,1,227,1999-09-26,1999,11,Beyond Blunderdome
225,22,225,1999-05-09,1999,10,They Saved Lisa's Brain
216,13,216,1999-02-07,1999,10,Homer to the Max
234,8,234,1999-11-28,1999,11,"Take My Wife, Sleaze"
236,10,236,2000-01-09,2000,11,Little Big Mom
237,11,237,2000-01-16,2000,11,Faith Off
259,11,259,2001-02-04,2001,12,Worst Episode Ever
239,13,239,2000-02-06,2000,11,Saddlesore Galactica
248,22,248,2000-05-21,2000,11,Behind the Laughter
255,7,255,2000-12-10,2000,12,The Great Money Caper
241,15,241,2000-02-20,2000,11,Missionary: Impossible
244,18,244,2000-04-09,2000,11,Days of Wine and D'oh'ses
148,20,148,1996-03-31,1996,7,Bart on the Road
264,16,264,2001-03-11,2001,12,"Bye, Bye, Nerdie"
267,19,267,2001-05-06,2001,12,I'm Goin' to Praiseland
269,21,269,2001-05-20,2001,12,Simpsons Tall Tales
287,18,287,2002-04-28,2002,13,I Am Furious (Yellow)
288,19,288,2002-05-05,2002,13,The Sweetest Apu
316,3,316,2003-11-16,2003,15,The President Wore Pearls
271,2,271,2001-11-11,2001,13,The Parent Rap
285,16,285,2002-04-07,2002,13,Weekend at Burnsie's
295,4,295,2002-11-24,2002,14,Large Marge
280,11,280,2002-02-17,2002,13,The Bart Wants What It Wants
305,14,305,2003-03-09,2003,14,Mr. Spritz Goes to Washington
273,4,273,2001-12-02,2001,13,A Hunka Hunka Burns in Love
293,2,293,2002-11-10,2002,14,How I Spent My Strummer Vacation
275,6,275,2001-12-16,2001,13,She of Little Faith
296,5,296,2002-12-01,2002,14,Helter Shelter
283,14,283,2002-03-17,2002,13,Tales from the Public Domain
300,9,300,2003-02-02,2003,14,The Strong Arms of the Ma
276,7,276,2002-01-06,2002,13,Brawl in the Family
278,9,278,2002-01-27,2002,13,Jaws Wired Shut
289,20,289,2002-05-12,2002,13,Little Girl in the Big Ten
310,19,310,2003-05-04,2003,14,Old Yeller-Belly
298,7,298,2003-01-05,2003,14,Special Edna
302,11,302,2003-02-16,2003,14,Barting Over
309,18,309,2003-04-27,2003,14,"Dude, Where's My Ranch?"
312,21,312,2003-05-18,2003,14,The Bart of War
314,1,314,2003-11-02,2003,15,Treehouse of Horror XIV
165,12,165,1997-02-02,1997,8,Mountain of Madness
319,6,319,2003-12-07,2003,15,Today I Am a Clown
321,8,321,2004-01-04,2004,15,"Marge vs. Singles, Seniors, Childless Couples and Teens and Gays"
323,10,323,2004-01-25,2004,15,Diatribe of a Mad Housewife
337,2,337,2004-11-14,2004,16,All's Fair in Oven War
334,21,334,2004-05-16,2004,15,Bart-Mangled Banner
353,18,353,2005-05-08,2005,16,A Star Is Torn
362,6,362,2005-11-20,2005,17,See Homer Run
325,12,325,2004-02-15,2004,15,Milhouse Doesn't Live Here Anymore
327,14,327,2004-03-14,2004,15,The Ziff Who Came to Dinner
343,8,343,2005-02-06,2005,16,Homer and Ned's Hail Mary Pass
358,2,358,2005-09-18,2005,17,The Girl Who Slept Too Little
329,16,329,2004-03-28,2004,15,The Wandering Juvie
359,3,359,2005-09-25,2005,17,Milhouse of Sand and Fog
360,4,360,2005-11-06,2005,17,Treehouse of Horror XVI
366,10,366,2006-01-08,2006,17,Homer's Paternity Coot
339,4,339,2004-12-05,2004,16,She Used to Be My Girl
330,17,330,2004-04-18,2004,15,My Big Fat Geek Wedding
350,15,350,2005-04-17,2005,16,Future-Drama
364,8,364,2005-12-11,2005,17,The Italian Bob
332,19,332,2004-05-02,2004,15,Simple Simpson
367,11,367,2006-01-29,2006,17,We're on the Road to D'ohwhere
346,11,346,2005-03-06,2005,16,On a Clear Day I Can't See My Sister
355,20,355,2005-05-15,2005,16,Home Away from Homer
336,1,336,2004-11-07,2004,16,Treehouse of Horror XV
341,6,341,2005-01-16,2005,16,Midnight Rx
344,9,344,2005-02-13,2005,16,Pranksta Rap
194,16,194,1998-03-01,1998,9,Dumbbell Indemnity
375,19,375,2006-04-30,2006,17,Girls Just Want to Have Sums
377,21,377,2006-05-14,2006,17,The Monkey Suit
396,18,396,2007-04-29,2007,18,The Boys of Bummer
405,5,405,2007-11-04,2007,19,Treehouse of Horror XVIII
393,15,393,2007-03-11,2007,18,Rome-Old and Juli-Eh
416,16,416,2008-04-13,2008,19,Papa Don't Leech
378,22,378,2006-05-21,2006,17,Marge and Homer Turn a Couple Play
388,10,388,2007-01-07,2007,18,The Wife Aquatic
423,3,423,2008-10-19,2008,20,"Double, Double, Boy in Trouble"
382,4,382,2006-11-05,2006,18,Treehouse of Horror XVII
411,11,411,2008-01-27,2008,19,That '90s Show
428,8,428,2008-12-07,2008,20,The Burns and the Bees
384,6,384,2006-11-19,2006,18,Moe'N'a Lisa
386,8,386,2006-12-10,2006,18,The Haw-Hawed Couple
407,7,407,2007-11-18,2007,19,Husbands and Knives
420,20,420,2008-05-18,2008,19,All About Lisa
400,22,400,2007-05-20,2007,18,You Kent Always Say What You Want
425,5,425,2008-11-09,2008,20,Dangerous Curves
391,13,391,2007-02-18,2007,18,Springfield Up
389,11,389,2007-01-28,2007,18,Revenge Is a Dish Best Served Three Times
395,17,395,2007-04-22,2007,18,Marge Gamer
398,20,398,2007-05-13,2007,18,Stop! Or My Dog Will Shoot
414,14,414,2008-03-09,2008,19,Dial 'N' for Nerder
412,12,412,2008-02-17,2008,19,"Love, Springfieldian Style"
427,7,427,2008-11-30,2008,20,MyPods and Boomsticks
421,1,421,2008-09-28,2008,20,"Sex, Pies and Idiot Scrapes"
418,18,418,2008-05-04,2008,19,Any Given Sundance
206,3,206,1998-09-27,1998,10,Bart the Mother
430,10,430,2009-02-15,2009,20,"Take My Life, Please"
432,12,432,2009-03-08,2009,20,"No Loan Again, Naturally"
465,1,465,2010-09-26,2010,22,Elementary School Musical
439,19,439,2009-05-03,2009,20,"Waverly Hills, 9-0-2-1-D'oh"
463,22,463,2010-05-16,2010,21,The Bob Next Door
437,17,437,2009-04-19,2009,20,"The Good, the Sad and the Drugly"
451,10,451,2010-01-10,2010,21,Once Upon a Time in Springfield
443,2,443,2009-10-04,2009,21,Bart Gets a 'Z'
436,16,436,2009-04-05,2009,20,Eeny Teeny Maya Moe
459,18,459,2010-04-18,2010,21,Chief of Hearts
444,3,444,2009-10-11,2009,21,The Great Wife Hope
461,20,461,2010-05-02,2010,21,To Surveil with Love
479,15,479,2011-03-06,2011,22,The Scorpion's Tale
477,13,477,2011-02-13,2011,22,The Blue and the Gray
454,13,454,2010-02-21,2010,21,The Color Yellow
470,6,470,2010-11-21,2010,22,The Fool Monty
449,8,449,2009-12-13,2009,21,"O Brother, Where Bart Thou?"
453,12,453,2010-02-14,2010,21,Boy Meets Curl
481,17,481,2011-03-27,2011,22,Love Is a Many Strangled Thing
446,5,446,2009-11-15,2009,21,The Devil Wears Nada
484,20,484,2011-05-08,2011,22,Homer Scissorhands
456,15,456,2010-03-21,2010,21,Stealing First Base
471,7,471,2010-11-28,2010,22,How Munched is That Birdie in the Window?
483,19,483,2011-05-01,2011,22,The Real Housewives of Fat Tony
474,10,474,2011-01-09,2011,22,Moms I'd Like to Forget
467,3,467,2010-10-10,2010,22,MoneyBart
475,11,475,2011-01-16,2011,22,Flaming Moe
217,14,217,1999-02-14,1999,10,I'm with Cupid
488,2,488,2011-10-02,2011,23,Bart Stops to Smell the Roosevelts
490,4,490,2011-11-06,2011,23,Replaceable You
497,11,497,2012-01-15,2012,23,The D'oh-cial Network
540,10,540,2014-01-12,2014,25,Married to the Blob
507,21,507,2012-05-13,2012,23,Ned 'n Edna's Blend
