id,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,season,title
555,457.0,3,555,2014-10-12,2014,26,Super Franchise Me
586,271.0,12,586,2016-01-17,2016,27,Much Apu About Something
561,432.0,9,561,2014-12-07,2014,26,I Won't Be Home for Christmas
556,612.0,4,556,2014-10-19,2014,26,Treehouse of Horror XXV
566,360.0,14,566,2015-02-15,2015,26,My Fare Lady
591,246.0,17,591,2016-04-03,2016,27,The Burns Cage
574,335.0,22,574,2015-05-17,2015,26,Mathlete's Feat
589,233.0,15,589,2016-03-06,2016,27,Lisa the Veterinarian
582,305.0,8,582,2015-12-06,2015,27,Paths of Glory
577,404.0,3,577,2015-10-11,2015,27,Puffless
31,1257.0,18,31,1991-04-11,1991,2,Brush with Greatness
45,1618.0,10,45,1991-11-21,1991,3,Flaming Moe's
5,1732.0,5,5,1990-02-04,1990,1,Bart the General
59,1227.0,24,59,1992-08-27,1992,3,"Brother, Can You Spare Two Dimes?"
62,1747.0,3,62,1992-10-08,1992,4,Homer the Heretic
83,2010.0,2,83,1993-10-07,1993,5,Cape Feare
88,1085.0,7,88,1993-11-11,1993,5,Bart's Inner Child
96,1505.0,15,96,1994-02-24,1994,5,Deep Space Homer
100,1118.0,19,100,1994-04-28,1994,5,Sweet Seymour Skinner's Baadasssss Song
101,1103.0,20,101,1994-05-05,1994,5,The Boy Who Knew Too Much
109,1690.0,6,109,1994-10-30,1994,6,Treehouse of Horror V
128,1619.0,25,128,1995-05-21,1995,6,Who Shot Mr. Burns? (Part One)
155,2439.0,2,155,1996-11-03,1996,8,You Only Move Twice
162,1383.0,9,162,1997-01-05,1997,8,El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer)
176,2256.0,23,176,1997-05-04,1997,8,Homer's Enemy
182,1019.0,4,182,1997-10-26,1997,9,Treehouse of Horror VIII
185,905.0,7,185,1997-11-16,1997,9,The Two Mrs. Nahasapeemapetilons
209,901.0,6,209,1998-11-15,1998,10,D'oh-in' in the Wind
256,836.0,8,256,2000-12-17,2000,12,Skinner's Sense of Snow
257,899.0,9,257,2001-01-07,2001,12,HOMR
266,1095.0,18,266,2001-04-29,2001,12,Trilogy of Error
291,701.0,22,291,2002-05-22,2002,13,Poppa's Got a Brand New Badge
292,752.0,1,292,2002-11-03,2002,14,Treehouse of Horror XIII
495,905.0,9,495,2011-12-11,2011,23,Holidays of Future Passed
558,977.0,6,558,2014-11-09,2014,26,Simpsorama
578,462.0,4,578,2015-10-18,2015,27,Halloween of Horror
594,193.0,20,594,2016-05-08,2016,27,To Courier with Love
3,1709.0,3,3,1990-01-21,1990,1,Homer's Odyssey
235,809.0,9,235,1999-12-19,1999,11,Grift of the Magi
250,803.0,2,250,2000-11-05,2000,12,A Tale of Two Springfields
253,762.0,5,253,2000-11-26,2000,12,Homer vs. Dignity
282,623.0,13,282,2002-03-10,2002,13,The Old Man and the Key
307,555.0,16,307,2003-03-30,2003,14,'Scuse Me While I Miss the Sky
324,575.0,11,324,2004-02-08,2004,15,Margical History Tour
348,530.0,13,348,2005-03-20,2005,16,Mobile Homer
351,661.0,16,351,2005-05-01,2005,16,Don't Fear the Roofer
369,642.0,13,369,2006-03-12,2006,17,The Seemingly Never-Ending Story
371,854.0,15,371,2006-03-26,2006,17,"Homer Simpson, This Is Your Wife"
374,549.0,18,374,2006-04-23,2006,17,The Wettest Stories Ever Told
403,637.0,3,403,2007-10-07,2007,19,Midnight Towboy
426,599.0,6,426,2008-11-16,2008,20,Homer and Lisa Exchange Cross Words
441,648.0,21,441,2009-05-17,2009,20,Coming to Homerica
445,671.0,4,445,2009-10-18,2009,21,Treehouse of Horror XX
458,482.0,17,458,2010-04-11,2010,21,American History X-cellent
460,511.0,19,460,2010-04-25,2010,21,The Squirt and the Whale
468,680.0,4,468,2010-11-07,2010,22,Treehouse of Horror XXI
493,493.0,7,493,2011-11-27,2011,23,The Man in the Blue Flannel Pants
524,417.0,16,524,2013-03-17,2013,24,Dark Knight Court
